id,user_id,date,total_score,category,q1_optimistic,q2_useful,q3_relaxed,q4_dealing,q5_thinking,q6_close,q7_decisions,q8_interest,q9_depressed,tips
5d4fa55b-4b15-4075-b71a-68c36ffb33fc,68cfd8df-08cc-4543-9f77-0f6956577eb3,2026-04-14T13:56:44.047711,3.33,Moderate,2,4,4,4,4,4,4,2,2,Try writing down one good thing that happened today.
bd68aed3-bebc-4f80-bcfb-f61aead7bf33,b6c3caf7-0aec-4707-85d7-3740f111bac2,2026-04-20T10:25:33.189786,2.67,Moderate,3,4,2,4,2,5,2,1,1,
76db0e5a-b335-4a89-9b3b-8ba4f9f74552,b6c3caf7-0aec-4707-85d7-3740f111bac2,2026-04-20T10:27:24.436687,1.0,Critical,1,1,1,1,1,1,1,1,1,Try writing down one good thing that happened today.
f5440c63-25dd-4cc3-a577-6e7e189d56c7,6b52f1aa-b1b2-4ea7-9c7b-827a790bd877,2026-04-20T11:02:45.398738,3.33,Moderate,3,4,2,4,2,3,4,4,4,You're managing. Focus on small|Try this: breathe in for 4 seconds|Take a 5-minute walk to clear your mind. Fresh air helps.
c80df0f4-6f18-4d12-82d8-c3356b69dc5f,6b52f1aa-b1b2-4ea7-9c7b-827a790bd877,2026-04-20T11:05:11.125489,5.0,Excellent,5,5,5,5,5,5,5,5,5,You're thriving! Keep up your great habits - they're working well.|💙 You've been experiencing low mood. Please consider reaching out to a mental health professional.
04cb72ef-9cc2-41bc-a0a0-587b29a7fec2,6b52f1aa-b1b2-4ea7-9c7b-827a790bd877,2026-04-20T11:05:29.480897,5.0,Excellent,5,5,5,5,5,5,5,5,5,You're thriving! Keep up your great habits - they're working well.|💙 You've been experiencing low mood. Please consider reaching out to a mental health professional.
f945ba0f-c8b4-4e21-8b2d-46e79eb8705c,6b52f1aa-b1b2-4ea7-9c7b-827a790bd877,2026-04-20T11:09:53.166864,4.11,Good,5,5,5,5,5,5,5,1,1,You're doing well. Try adding one new positive activity to your routine.
e58e6b25-fcd6-46b3-9b3b-f32a54e3bb25,6b52f1aa-b1b2-4ea7-9c7b-827a790bd877,2026-04-20T11:10:24.859665,1.89,Concerning,1,1,1,1,1,1,1,5,5,Your wellbeing matters. Consider talking to someone you trust.
3a909cf0-e3b0-476d-ae5c-e817bf645ffc,6b52f1aa-b1b2-4ea7-9c7b-827a790bd877,2026-04-20T11:21:46.518466,5.0,Excellent,5,5,5,5,5,5,5,5,5,You're thriving! Keep up your great habits - they're working well.
475a0d6b-b9ae-45a5-baa7-e3f18f47f34b,6b52f1aa-b1b2-4ea7-9c7b-827a790bd877,2026-04-24T12:48:43.345359,3.11,Moderate,4,1,3,5,2,1,4,3,5,You're managing. Focus on small
3b0d0ed0-bac3-49b8-a7b7-fed173b43276,33c8798a-d575-40b7-9214-259fdb93236b,2026-04-29T14:11:19.126254,3.67,Good,4,3,4,3,4,3,4,4,4,You're doing well. Try adding one new positive activity to your routine.
7dc623d8-fbf7-4645-b2c5-bb194f73ac09,ddb30fe8-b10c-43a3-97d0-d05aec766fe2,2026-04-29T16:02:58.680254,3.56,Good,4,3,4,4,3,3,3,4,4,You're doing well. <a href='https://www.nhs.uk/every-mind-matters/' target='_blank'>Every Mind Matters →</a>
c1e44181-c5db-44e9-b7c3-c4863a464c19,ddb30fe8-b10c-43a3-97d0-d05aec766fe2,2026-04-29T16:55:47.730235,1.0,Critical,1,1,1,1,1,1,1,1,1,Please reach out for support. <a href='https://www.nhs.uk/mental-health/nhs-voluntary-charity-services/' target='_blank'>NHS mental health services →</a>
551adc84-96a7-4b48-b557-a2b7184432bd,ddb30fe8-b10c-43a3-97d0-d05aec766fe2,2026-04-29T18:09:55.565646,3.56,Good,4,3,4,5,3,3,5,3,2,You're doing well. <a href='https://www.nhs.uk/every-mind-matters/' target='_blank'>Every Mind Matters →</a>
fde676bf-3209-4cf0-8e6c-95d98af0554f,ddb30fe8-b10c-43a3-97d0-d05aec766fe2,2026-04-29T18:17:48.751055,2.78,Moderate,3,4,2,5,1,4,1,1,4,Focus on small steps. <a href='https://www.nhs.uk/mental-health/self-help/guides-tools-and-activities/tips-for-low-mood/' target='_blank'>Tips for low mood →</a>
f9a0ed4f-6283-4077-9aa2-31b2e4bbf575,ddb30fe8-b10c-43a3-97d0-d05aec766fe2,2026-04-29T18:20:44.400246,2.89,Moderate,4,2,3,4,2,4,3,2,2,Focus on small steps. <a href='https://www.nhs.uk/mental-health/self-help/' target='_blank'>Tips for low mood →</a>
25d69cc8-549c-40c1-b732-e917053ae004,ddb30fe8-b10c-43a3-97d0-d05aec766fe2,2026-04-29T18:21:17.471527,3.44,Moderate,2,1,1,2,5,5,5,5,5,Focus on small steps. <a href='https://www.nhs.uk/mental-health/self-help/' target='_blank'>Tips for low mood →</a>
3fea874f-d77c-4128-87c5-073c03c54c22,ddb30fe8-b10c-43a3-97d0-d05aec766fe2,2026-05-04T11:57:08.275896,3.56,Good,5,4,3,2,4,3,5,3,3,You're doing well. <a href='https://www.nhs.uk/every-mind-matters/' target='_blank'>Every Mind Matters →</a>
86721217-3c25-4fd1-8ff0-cacde8fc11ec,00ea7e50-5e06-4aea-a9e1-22060730c8ad,2026-05-05T11:55:53.790649,3.89,Good,4,2,5,4,3,5,4,4,4,You're doing well. <a href='https://www.nhs.uk/every-mind-matters/' target='_blank'>Every Mind Matters →</a>
cda3a774-b410-42a0-bdff-c77cbfb01657,00ea7e50-5e06-4aea-a9e1-22060730c8ad,2026-05-05T11:56:26.464978,1.0,Critical,1,1,1,1,1,1,1,1,1,Please reach out for support. <a href='https://www.nhs.uk/mental-health/nhs-voluntary-charity-services/' target='_blank'>NHS mental health services →</a>
d7ec4980-d204-47be-9e26-502dd9362bd8,00ea7e50-5e06-4aea-a9e1-22060730c8ad,2026-05-05T12:27:32.296276,3.44,Moderate,4,3,4,3,4,3,4,3,3,Focus on small steps. <a href='https://www.nhs.uk/mental-health/self-help/' target='_blank'>Tips for low mood →</a>
